"Country.Name","Year","Adolescent.fertility.rate..births.per.1.000.women.ages.15.19.","Foreign.direct.investment..net.inflows....of.GDP.","GDP..current.US..","GNI..current.US..","Gross.national.expenditure....of.GDP.","Mobile.cellular.subscriptions","Mobile.cellular.subscriptions..per.100.people.","Individuals.using.the.Internet....of.population.","Access.to.electricity....of.population.","Access.to.electricity..urban....of.urban.population.","Adjusted.savings..net.national.savings....of.GNI.","Employers..total....of.total.employment...modeled.ILO.estimate.","Foreign.direct.investment..net..BoP..current.US..","Labor.force..female....of.total.labor.force.","Urban.population....of.total.population.","Urban.population.growth..annual...","Compulsory.education..duration..years.","Access.to.electricity..rural....of.rural.population.","Fixed.broadband.subscriptions","Fixed.broadband.subscriptions..per.100.people.","Computer..communications.and.other.services....of.commercial.service.exports.","Computer..communications.and.other.services....of.commercial.service.imports.","Adjusted.net.national.income..current.US..","Communications..computer..etc.....of.service.imports..BoP.","Cost.of.business.start.up.procedures....of.GNI.per.capita.","GNI..constant.2015.US..","Labor.force.participation.rate.for.ages.15.24..total......national.estimate.","Adjusted.net.national.income.per.capita..annual...growth.","Employment.to.population.ratio..ages.15.24..total......national.estimate.","Gini.index","Poverty.headcount.ratio.at..2.15.a.day..2017.PPP.....of.population.","Poverty.gap.at..2.15.a.day..2017.PPP.....","Labor.force.with.basic.education....of.total.working.age.population.with.basic.education.","Labor.force.with.advanced.education....of.total.working.age.population.with.advanced.education.","School.enrollment..tertiary....gross.","School.enrollment..primary.and.secondary..gross...gender.parity.index..GPI.","Educational.attainment..at.least.completed.lower.secondary..population.25...total......cumulative.","International.tourism..expenditures..current.US..","Secure.Internet.servers","Secure.Internet.servers..per.1.million.people.","Primary.completion.rate..total....of.relevant.age.group.","Adolescents.out.of.school....of.lower.secondary.school.age.","Individuals.using.the.Internet..female....of.female.population.","Individuals.using.the.Internet..male....of.male.population."
"Ireland",2016,7.22,34.47,2.99e+11,2.43e+11,84.11,4880000,103.38,83.5,100,100,11.44,4.62,-9219282218,45.55,62.74,1.45,10,100,1360000,28.61,74.36,86.63,1.71e+11,84.67,0.2,2.42e+11,50.46,4.41,41.98,32.8,0.1,0.1,33.06,80.82,77.56,1.01,86.81,6.234e+09,55844,11743.44,99.69,0.37,,
"Ireland",2017,6.6,17.29,3.37e+11,2.68e+11,78.81,4900000,102.66,84.11,100,100,11.78,4.47,-55346188076,45.72,62.95,1.42,10,100,1400000,29.08,76.24,86.14,1.83e+11,83.81,0.2,2.56e+11,46.69,1.76,39.96,31.4,0.2,0.2,31.2,81.11,77.78,0.99,86.16,6.616e+09,185553,38597.47,98.29,0.49,85.7,82.5
"Ireland",2018,6.37,17.42,3.87e+11,3e+11,71.38,4970000,102.83,87,100,100,11.45,4.32,27441629241,45.89,63.17,1.59,10,100,1430000,29.35,79.59,84.61,2.03e+11,81.94,0.1,2.68e+11,46.72,2.56,40.3,30.6,0,0,30.57,81.31,77.28,1.06,87.63,7.541e+09,338734,69593.59,97.33,0.54,87.99,86
"Ireland",2019,5.8,-11.69,3.99e+11,3.1e+11,96.24,5160000,105.4,87,100,100,12.92,4.2,-97444443422,45.92,63.41,1.74,10,100,1460000,29.65,81.65,88.45,2.09e+11,86.23,0.1,2.84e+11,47.06,3.62,41.2,30.8,0.1,0,30.96,81.15,75.18,1.04,87.65,8.156e+09,470811,95415.19,100.63,0.63,87.98,86
"Israel",2008,14.14,4.66,2.21e+11,2.16e+11,100.57,8980000,126.96,59.39,100,100,8.05,4.08,-3.065e+09,45.79,91.7,1.84,11,100,1680000,23.78,60.62,44.18,1.8e+11,44.95,4.4,2.22e+11,53.97,-1.11,47.27,41.6,0.5,0.2,,,56.5,1.01,,4.967e+09,,,93.27,4.15,56.23,62.74
"Israel",2009,13.73,2.17,2.12e+11,2.08e+11,97.74,9020000,125.31,63.12,100,100,8.03,4.08,-2855800000,46.49,91.76,2.46,13,100,1720000,23.91,66.22,45.72,1.72e+11,46.55,4.2,2.29e+11,52.74,0.48,44.93,42.6,0.5,0.2,29.13,74.79,59.08,1.01,84.82,4.5e+09,,,98.92,2.03,60.45,65.94
"Israel",2010,13.37,2.93,2.38e+11,2.35e+11,98.35,9110000,124.32,67.5,100,100,9.37,4.08,958700000,46.46,91.83,1.9,13,100,1760000,24.02,63.54,45.68,1.97e+11,46.46,4.3,2.41e+11,52.68,4.69,45.08,42.6,0.5,0.2,29.75,75.11,61.85,1.01,85.11,4.683e+09,3388,444.41,95.95,1.87,64.44,70.67
"Israel",2011,12.45,3.24,2.67e+11,2.64e+11,100.37,9200000,123.33,68.87,100,100,9.86,4.05,-1252100000,46.3,91.89,1.92,13,100,1880000,25.15,67.39,45.89,2.23e+11,46.68,4.4,2.53e+11,50.44,3.19,44.43,41.4,0.2,0.2,28.75,76.65,61.95,1.01,85.74,4.874e+09,5056,651.06,95.79,1.58,,
"Israel",2012,11.52,3.44,2.62e+11,2.56e+11,100.35,9230000,121.51,70.8,100,100,8.87,4.06,-6741700000,46.41,91.96,1.92,13,100,1940000,25.46,68.47,50.32,2.15e+11,50.98,4,2.58e+11,52.46,-0.17,46.13,41.3,0.5,0.3,34.64,81.79,63.59,1.01,86.16,5.008e+09,7123,900.45,98.46,1.57,68.03,73.76
"Israel",2013,10.26,3.98,2.98e+11,2.92e+11,98.14,9500000,122.95,70.25,100,100,10.53,3.86,-7.984e+09,46.35,92.03,1.94,13,100,2000000,25.85,71.29,48.55,2.47e+11,49.2,4.1,2.72e+11,52.51,4.56,47.02,39.9,0.5,0.2,34.54,81.41,62.06,1.01,88.43,5.757e+09,7740,960.36,95.65,1.81,67.88,72.79
"Israel",2014,9.92,1.92,3.14e+11,3.12e+11,98.34,9500000,120.81,75.02,100,100,12.21,3.73,-1523400000,46.69,92.1,2,13,100,2130000,26.98,72.33,48.06,2.65e+11,48.7,3.5,2.88e+11,52.53,3.87,47.02,39.8,0.5,0.2,33.62,82.17,62.11,1.01,88.83,6.534e+09,8287,1008.68,95.26,1.94,73.22,76.92
"Israel",2015,9.94,3.74,3.03e+11,3e+11,96.64,10600000,132,77.35,100,100,12.48,3.97,-367800000,46.68,92.18,2.06,13,100,2170000,26.98,73.5,46.52,2.55e+11,47.16,3.4,3e+11,51.76,2.31,46.97,39.7,0.5,0.2,32.87,82.11,60.82,1.01,89.18,7.506e+09,10936,1305,98.79,2.14,76.34,78.43
"Israel",2016,9.51,3.72,3.22e+11,3.18e+11,97.78,10600000,129.55,79.65,100,100,12.27,3.99,2590400000,46.81,92.26,2.04,15,100,2260000,27.5,76.63,46.41,2.71e+11,47.01,3.3,3.16e+11,51.29,3.59,46.89,39,0.2,0.1,32.15,82.29,60.45,1.01,90.69,8.21e+09,18114,2119.59,94.91,2.21,78.73,80.63
"Israel",2017,8.72,4.72,3.58e+11,3.55e+11,97.79,10500000,126.85,81.58,100,100,12.29,3.68,-9268600000,46.78,92.34,2.03,15,100,2340000,28.01,76.59,48.77,3.05e+11,49.28,3.2,3.31e+11,51.12,3.06,47.44,38.2,0.5,0.2,31.88,81.26,59.07,1.01,90.66,8.985e+09,60711,6967.62,98.92,2.7,80.23,83.01
"Israel",2018,8.09,5.71,3.77e+11,3.75e+11,98.74,10700000,126.53,83.73,100,100,12.04,3.39,-15427900000,47.23,92.42,2.02,15,100,2440000,28.61,77.84,48.8,3.2e+11,49.27,2.8,3.43e+11,49.88,1.64,46.36,38.6,0.5,0.2,31.2,81.55,57.39,1.01,90.35,9.975e+09,85381,9611.95,95.04,3.03,82.63,84.9
"Israel",2019,8.12,4.31,4.02e+11,3.98e+11,97.47,11700000,135.92,86.79,100,100,12.63,3.26,-8673400000,47.33,92.5,2,15,100,2480000,28.66,78.9,49.85,3.42e+11,50.29,2.7,3.6e+11,48.69,3.21,45.5,38.3,0.7,0.3,29.84,81.4,55.94,1.01,90.87,1.0389e+10,100634,11114.87,94.46,3.19,86.07,87.54
"Italy",2008,7.19,-0.39,2.41e+12,2.39e+12,100.77,90300000,152.54,44.53,100,100,2.6,6.92,77206581819,41.02,68.09,0.84,12,100,11300000,18.93,38.17,42.91,1.99e+12,43.96,18.5,1.94e+12,30.75,-4.03,24.23,33.8,0.7,0.5,36.97,76.36,67.58,0.99,71.91,,,,105.52,0.29,39.36,49.83
"Italy",2009,7.05,0.75,2.2e+12,2.2e+12,100.62,90000000,151.16,48.83,100,100,0.26,6.75,1760503505,41.09,68.21,0.63,12,100,12100000,20.17,37.26,43.17,1.82e+12,44.14,18,1.88e+12,28.85,-4.47,21.54,33.8,0.9,0.6,35.76,75.26,66.95,0.99,72.85,,,,101.73,0.27,43.65,54.13
"Italy",2010,6.87,0.46,2.14e+12,2.13e+12,101.86,93700000,156.57,53.68,100,100,-0.26,6.7,20798672662,41.28,68.33,0.48,12,100,13100000,21.77,39.59,42.69,1.76e+12,43.78,18.7,1.89e+12,28.09,-0.08,20.25,34.7,1.3,0.8,35.09,74.48,65.38,0.99,73.83,,7532,127.06,101.48,0.13,48.32,59.2
"Italy",2011,6.65,1.5,2.29e+12,2.29e+12,101.4,96000000,160,54.39,100,100,-0.03,6.67,17407273695,41.59,68.44,0.34,12,100,13500000,22.39,39.15,42.5,1.88e+12,43.62,18.4,1.88e+12,27.11,-0.48,19.21,35.1,1.2,0.8,34.88,74.76,64.25,0.99,74.77,,11306,190.4,100.93,0.16,49.82,59.08
"Italy",2012,6.5,0,2.09e+12,2.08e+12,98.9,97200000,161.47,55.83,100,100,-0.71,6.62,6761814775,42.16,68.68,0.62,12,100,13800000,22.74,40.96,41.9,1.7e+12,43.14,16.7,1.82e+12,28.56,-4.15,18.47,35.2,1.2,0.8,35.64,75.03,62.34,0.99,75.68,,18058,303.29,99.08,0.29,50.8,60.95
"Italy",2013,5.95,0.91,2.14e+12,2.14e+12,97.6,96900000,160.6,58.46,100,100,-0.29,6.91,742935955.5,42.35,68.98,1.59,12,100,14000000,23.1,39.14,41.1,1.74e+12,42.33,14.7,1.8e+12,27.14,-2.67,16.27,34.9,1.4,1,35.19,74.29,60.89,0.99,77.15,,22587,374.99,99.57,0.6,54,63.04
"Italy",2014,5.68,0.79,2.16e+12,2.16e+12,97.1,89900000,149.06,55.64,100,100,0.66,6.6,3443516887,42.57,69.27,1.34,12,100,14400000,23.71,38.59,41.3,1.77e+12,42.35,14.8,1.81e+12,27.14,0.14,15.56,34.7,1.2,0.8,34.89,74.62,60.88,0.99,77.62,,29973,493.07,99.32,0.84,51.02,60.56
"Italy",2015,5.21,0.72,1.84e+12,1.82e+12,96.99,87700000,145.59,58.14,100,100,0.41,6.61,2120880783,42.23,69.57,0.33,12,100,14900000,24.6,37.7,41.45,1.49e+12,42.32,14.4,1.82e+12,26.19,0.77,15.63,35.4,1.9,1.3,34.54,74.51,60.94,1,78.46,3.0312e+10,38140,628.02,98.95,0.98,53.73,62.84
"Italy",2016,4.88,1.37,1.88e+12,1.88e+12,96.71,86000000,142.98,61.32,100,100,2.46,6.48,-11998104744,42.43,69.86,0.25,12,100,15600000,25.73,38.19,41.67,1.55e+12,42.75,14.3,1.88e+12,26.61,4.07,16.56,35.2,1.6,1.1,34.93,75.08,61.36,1,80.14,3.0584e+10,79125,1305.1,98.49,1.16,57.2,65.71
"Italy",2017,4.44,0.57,1.96e+12,1.97e+12,97.14,83900000,139.78,63.08,100,100,3.06,6.27,676832040.6,42.59,70.14,0.26,12,100,16600000,27.47,39.47,42.1,1.63e+12,43.14,14.1,1.91e+12,26.18,1.89,17.08,35.9,1.4,1,35.09,75.07,62.7,0.98,80.99,3.4819e+10,468800,7744.06,99.57,1.16,59.25,67.14
"Italy",2018,4.13,2.12,2.09e+12,2.12e+12,97.6,83300000,139.19,74.39,100,100,3.52,6.06,-5593749248,42.6,70.44,0.23,12,100,17200000,28.46,39.48,42.65,1.75e+12,43.6,14.1,1.94e+12,26.08,1.66,17.68,35.2,1.5,0.9,34.92,74.91,64.48,0.98,81.94,3.7644e+10,740648,12257.97,98.83,1.16,71.78,77.07
"Italy",2019,3.88,1.78,2.01e+12,2.03e+12,96.67,79500000,133.07,67.85,100,100,3.91,5.97,1681603982,42.75,70.74,-0.73,12,100,17500000,29.05,39.95,42.23,1.67e+12,42.94,13.8,1.94e+12,26.08,1.56,18.48,34.6,1,0.8,34.59,74.76,65.69,0.98,82.77,3.7908e+10,914642,15313.18,98.37,1.17,64.2,71.71
"Kazakhstan",2008,31.19,12.6,1.33e+11,1.14e+11,82.11,14900000,92.06,11,100,100,19.71,1.55,-13114745080,50.25,56.68,2,9,100,337000,2.05,13.42,63.34,81054341732,64.01,5.2,1.13e+11,46.93,2.11,,28.5,0.2,0,,,,,,1.361e+09,,,102.65,1.77,,
"Kazakhstan",2009,30.82,12.38,1.15e+11,1.03e+11,88.6,17100000,104.03,18.2,100,100,17.26,2.17,-10083300957,50.16,56.76,2.11,9,100,577000,3.47,13.75,63.51,77034949121,64.18,4.8,1.22e+11,,1.06,,28.2,0.2,0,,,,,95.57,1.319e+09,,,100.09,1.74,,
"Kazakhstan",2010,29.58,5.04,1.48e+11,1.29e+11,81.57,19400000,116.69,31.6,100,100,19.13,1.99,-3665239041,50.08,56.83,1.54,9,100,870000,5.16,13.04,66.62,95179461452,67.12,1,1.25e+11,,10.24,,28,0.2,0,,,47.34,1.01,,1.489e+09,57,3.49,101.15,1.34,,
"Kazakhstan",2011,30.57,7.14,1.93e+11,1.65e+11,75.67,25200000,149.66,50.6,99.8,100,23.47,2.09,-8582644895,50.01,56.9,1.56,9,99.6,1190000,6.99,13.26,60.91,1.2e+11,61.36,0.8,1.29e+11,,12.66,,28,0.1,0,,,50.95,1.01,,1.831e+09,91,5.5,107.45,0.95,,
"Kazakhstan",2012,32.81,6.56,2.08e+11,1.8e+11,81.69,30200000,176.79,61.91,100,100,20.49,2.14,-11855850310,49.92,56.97,1.54,9,100,1640000,9.46,10.62,54.55,1.35e+11,54.91,0.7,1.37e+11,,6.16,,28.2,0,0,,,52.7,1.01,,3.609e+09,202,12.03,102.2,0.52,,
"Kazakhstan",2013,35.09,4.23,2.37e+11,2.11e+11,84.64,30400000,175.06,63.3,100,100,18.91,1.85,-8034378287,49.84,57.05,1.57,9,100,1960000,11.16,12.66,52.61,1.63e+11,53.01,0.6,1.53e+11,,9.58,,27.1,0,0,,,53.47,1.01,,3.772e+09,296,17.38,101.63,1.08,,
"Kazakhstan",2014,35.74,3.3,2.21e+11,1.99e+11,84.96,28600000,162.55,66,100,100,19.91,1.58,-4674570616,49.75,57.12,1.6,9,100,2150000,12.06,10.71,55.24,1.54e+11,55.73,0.5,1.6e+11,,3.64,,27,0,0,,,51.71,1.02,,3.771e+09,465,26.9,102.49,0.32,,
"Kazakhstan",2015,31.95,3.57,1.84e+11,1.73e+11,93.26,26300000,147.51,70.83,100,100,15.93,1.35,-3261447512,49.64,57.19,1.59,9,100,2300000,12.72,11.12,54.49,1.42e+11,55.31,0.5,1.73e+11,,2.23,,26.8,0,0,,,49.03,1.02,91.95,3.046e+09,845,48.17,100.46,1.26,69.94,71.8
"Kazakhstan",2016,28.34,12.55,1.37e+11,1.24e+11,94,25500000,141.24,74.59,100,100,14.67,1.3,-13749208891,49.52,57.26,1.55,9,100,2350000,12.8,11.19,54.34,1.02e+11,55.08,0.3,1.67e+11,,-3.46,,27.2,0.1,0,,,46.82,1.02,,2.58e+09,4701,264.19,99.31,0.91,73.29,75.99
"Kazakhstan",2017,24.79,2.85,1.67e+11,1.49e+11,89.48,26700000,145.75,76.43,100,100,17.28,1.25,-3800894948,49.41,57.34,1.49,9,100,2580000,13.81,9,54.46,1.2e+11,55.06,0.3,1.7e+11,,2.09,,27.5,0,0,,,51.07,1.01,,2.695e+09,22227,1232.25,99.61,2.05,75.56,77.37
"Kazakhstan",2018,23.58,0.2,1.79e+11,1.57e+11,85.68,26100000,140.61,78.9,100,100,19.89,1.23,-4992569029,49.3,57.43,1.47,9,100,2460000,13,10.06,57.47,1.21e+11,57.94,0.3,1.72e+11,,-0.82,,27.8,0,0,,,53.52,1.01,99.46,2.852e+09,25115,1374.17,101.42,1.49,77.85,80.04
"Kazakhstan",2019,22.06,2.05,1.82e+11,1.59e+11,89.04,25700000,137.13,81.88,100,100,18.38,1.21,-5904427074,49.2,57.54,1.48,9,100,2510000,13.08,11.58,51.63,1.24e+11,52.18,0.2,1.8e+11,,5.25,,28,0,0,,,59.58,1.01,98.61,2.955e+09,43674,2359.01,98.42,2.02,80.99,82.84
"Korea, Rep.",2008,2.46,1.07,1.05e+12,1.05e+12,100.25,45600000,94.23,81,100,100,15.29,6.43,8.349e+09,41.22,81.73,0.88,9,100,15500000,32,36.5,39.09,8.58e+11,39.68,16.9,1.12e+12,24.14,-1.71,22.01,32.3,0.2,0.2,54.92,69.75,103.14,1,,2.1447e+10,,,99.88,2.4,76.66,85.28
"Korea, Rep.",2009,2.47,0.96,9.44e+11,9.42e+11,95.73,47900000,98.67,81.6,100,100,14.52,6.42,8378600000,41.01,81.84,0.64,9,100,16300000,33.68,43.45,48.14,7.65e+11,48.58,14.7,1.15e+12,23.1,0.83,20.94,,,,54.05,69.4,102.66,1,77.87,1.6355e+10,,,101.57,0.11,77.07,85.95
"Korea, Rep.",2010,2.79,0.83,1.14e+12,1.15e+12,97.19,50800000,104,83.7,100,100,16.94,6.26,18724200000,41.14,81.94,0.62,9,100,17200000,35.26,37.25,45.93,9.38e+11,46.46,14.7,1.23e+12,23.23,7.5,21.22,32,0.5,0.2,53.25,69.83,101.67,1,82.9,2.0788e+10,8688,175.32,101.45,0.15,,
"Korea, Rep.",2011,2.97,0.78,1.25e+12,1.26e+12,98.89,52500000,106.79,83.76,100,100,16.01,6.18,19874700000,41.13,81.92,0.75,9,100,17900000,36.35,42.2,47.5,1.03e+12,48.08,14.6,1.25e+12,23.8,0.36,21.79,,,,52.36,70.17,100.82,1,84.16,2.2195e+10,10413,208.52,97.62,0.01,79.54,87.95
"Korea, Rep.",2012,3.17,0.74,1.28e+12,1.29e+12,97.27,53600000,108.04,84.07,100,100,15.52,6.25,21102800000,41.11,81.85,0.44,9,100,18300000,36.8,44.02,48.69,1.05e+12,49.14,14.6,1.29e+12,24.54,1.9,22.61,31.6,0.2,0.1,51.7,70.6,98.29,1,84.77,2.2934e+10,13470,268.33,102.07,0.19,80.02,88.12
"Korea, Rep.",2013,3.23,0.93,1.37e+12,1.38e+12,95.37,54700000,109.15,84.77,100,100,15.87,6.01,15551200000,41.17,81.78,0.37,9,100,18700000,37.42,47.2,49.47,1.12e+12,49.97,14.6,1.34e+12,24.74,3.16,22.75,,,,51.1,70.52,96.34,1,85.27,2.4459e+10,17000,337.11,104.4,0.02,81.02,88.53
"Korea, Rep.",2014,3.17,0.62,1.48e+12,1.49e+12,94.95,57300000,113.32,87.56,100,100,16.02,6.06,18724900000,41.38,81.71,0.54,9,100,19200000,37.99,47.79,49.5,1.21e+12,49.96,14.5,1.38e+12,26.63,2.41,24.31,31.2,0.2,0.1,50.64,71.27,94.44,1,86.03,2.6136e+10,20634,406.61,98.23,0.08,84.39,90.68
"Korea, Rep.",2015,2.99,0.28,1.47e+12,1.47e+12,93.15,58900000,115.57,89.9,100,100,17.62,6.14,1.9583e+10,41.54,81.63,0.44,9,100,20000000,39.28,46.79,48.27,1.2e+12,48.89,14.5,1.47e+12,28.18,5.31,25.35,,,,49.75,71.94,93.97,1,85.72,2.7957e+10,28452,557.72,100.52,2.62,87.35,92.4
"Korea, Rep.",2016,2.84,0.81,1.5e+12,1.51e+12,93.34,61300000,119.46,92.84,100,100,18.18,5.99,17785200000,41.67,81.56,0.31,9,100,20600000,40.07,50.18,47.02,1.23e+12,47.67,14.6,1.54e+12,28.31,3.73,25.39,35.2,0.2,0.1,48.93,72.11,93.66,0.99,87.14,2.9817e+10,36928,721,103.8,3.57,90.93,94.72
"Korea, Rep.",2017,2.47,1.1,1.62e+12,1.63e+12,95.25,63700000,123.58,95.07,100,100,18.44,6.08,16156500000,41.92,81.5,0.21,9,100,21200000,41.17,53.22,47.85,1.33e+12,48.54,14.6,1.59e+12,28.06,3.31,25.27,34.9,0.2,0.1,48.34,72.3,93.72,1,87.36,3.4453e+10,61580,1198.94,97.86,3.5,93.86,96.24
"Korea, Rep.",2018,2.36,0.71,1.73e+12,1.73e+12,95.56,66400000,128.41,96.02,100,100,16.87,6.15,26037800000,42.1,81.46,0.38,9,100,21300000,41.22,51.26,48.05,1.41e+12,48.64,14.6,1.61e+12,27.33,0.62,24.53,33.7,0.2,0,47.62,72.24,93.33,1,87.58,3.8022e+10,106574,2065.99,96.76,0.13,94.83,97.17
"Korea, Rep.",2019,2.39,0.58,1.65e+12,1.67e+12,97.21,68900000,132.99,96.16,100,100,14.82,5.67,25604700000,42.46,81.43,0.31,9,100,21800000,42.04,49.71,49.79,1.34e+12,50.47,14.6,1.62e+12,27.6,-1.12,24.85,33.2,0,0,47.77,72.3,94,1,87.88,3.5339e+10,234958,4538.95,99.91,0.34,95.31,96.97
"Kosovo",2008,15.51,10.4,5181776769,5421984766,142.35,562000,32.3,,,,10.49,,-502255367.9,,,,,,,,45.88,38.15,,38.68,,4792003236,,,,,,,,,,,,,,,,,,
"Kosovo",2009,16,8.04,5015894693,5101747847,139.3,562000,32.3,,,,11.07,,-388555746.4,,,,,,,,25.52,39.35,,39.69,26.4,4892248097,,,,31.8,3.4,0.6,,,,,,,,,,,,
"Kosovo",2010,13.93,9.17,5343950556,5433365637,138.84,562000,32.3,,,,8.36,,-439950541.4,,,,,,,,26.18,46.97,,47.82,28.7,5132091836,,,,33.3,2.9,0.5,,,,,,,,,,,,
"Kosovo",2011,13.46,8.44,6341613610,6496425181,136.25,,,,,,10.49,,-528270968.8,,,,,,,,25.1,35.99,,35.99,26.7,5500712768,,,,27.8,1.9,0.3,,,,,,,,,,,,
"Kosovo",2012,13.09,4.76,6163484245,6360842590,132.32,,,,,,13.4,,-272880457,,,,,,,,18.93,31.66,,33.75,23,5639376668,21.86,,9.77,29,0.8,0.1,15.85,69.58,,,,,,,,,,
"Kosovo",2013,11.7,5.52,6735328610,6896736548,129.1,,,,,,14.18,,-331559735.7,,,,,,,,15.27,24.02,,27.41,22.1,5893565359,22.76,,10.04,26.3,0.4,0.1,18.76,73.02,,,,,,,,,,
"Kosovo",2014,11.24,2.83,7074394735,7225543490,130.02,,,,,,8.34,,-164374599.7,,,,,,,,20.03,32.63,,35.62,1.2,6074103615,23.04,,8.99,27.3,1.1,0.2,18.6,70.22,,,,,,,,,,
"Kosovo",2015,10.12,5.45,6295848423,6398632303,129.12,,,,,,9.16,,-302274786,,,,,,,,15.82,19.84,,22.89,1.1,6398632303,20.2,,8.54,26.5,0.8,0.1,15.7,63.2,,,,,,,,,,
"Kosovo",2016,9.22,3.65,6682677290,6765147257,127.36,,,,,,13.03,,-196726633.3,,,,,,,,12.59,18.26,,20.2,1.1,6729529825,21.25,,10.11,26.7,0.8,0.2,16.79,65.13,,,,,,,,,,
"Kosovo",2017,9.34,3.99,7180764703,7324662734,125.75,,,83.89,,,16.52,,-236712686.8,,,,,,,,11.47,22.71,,24.4,1,7107629272,23.7,,11.2,29,0.4,0.2,16.99,71.55,,,,,,,,,82.04,85.23
"Kosovo",2018,8.85,4.04,7878759715,8012300817,128.21,,,89.44,,,15.81,,-264006090.6,,,,,,,,13.61,28.63,,30.85,1,7327026796,22.79,,10.53,,,,14.28,79.96,,,,,,,,,89,89.94
"Kosovo",2019,8.11,3.61,7899737577,8079554106,127.13,,,,,,16.05,,-211142870.2,,,,,,,,13.38,26.36,,28.59,1.4,7720487928,26.05,,13.28,,,,15.37,77.02,,,,,,,,,,
"Kyrgyz Republic",2008,31.75,7.33,5139958909,4933258865,139.01,3390000,63.49,15.7,99.5,99.4,4.43,0.78,-377120091.4,45.05,35.29,0.94,9,99.6,19000,0.36,14.09,10.69,4275262235,11.23,7.4,,,,,31.5,3.3,0.6,,,44.1,,,4.5e+08,,,95.5,9.68,,
"Kyrgyz Republic",2009,35.13,4.04,4690061381,4508661415,123.98,4490000,82.88,16,99.5,99.5,15.73,0.64,-189644600,44.99,35.28,1.2,9,99.5,17400,0.32,35.81,21.91,3903436688,22.86,5.2,,47.94,,,29.9,1.5,0.3,,,42.56,1.03,95.69,2.73e+08,,,97.86,,,
"Kyrgyz Republic",2010,37.58,9.86,4794361863,4489261605,130.12,5280000,96.2,16.3,99,99.1,10.38,1.87,-455152400,44.98,35.31,1.26,9,98.9,23100,0.42,45.78,24.59,3673209966,25.44,3.7,4937184858,54.71,,48.17,30.1,3.5,1,,,41.19,0.99,,2.75e+08,10,1.84,96.76,9.05,,
"Kyrgyz Republic",2011,43.57,11.06,6197765984,5538865999,127.1,6280000,113.05,17.5,98.3,99.3,9.59,1.83,-689582900,44.6,35.35,1.35,9,97.8,39000,0.7,37.45,19.27,4541967184,19.99,3.5,4992813394,53.41,4.28,47.21,27.8,1.3,0.2,31.13,80.01,40.95,1,,3.92e+08,8,1.45,96.53,10.27,,
"Kyrgyz Republic",2012,45.37,3.95,6605142884,6435842810,150.87,6800000,120.7,19.8,99.8,99.8,1.78,2.6,-277059600,43.93,35.42,1.87,9,99.8,54600,0.96,36.19,22.54,5553613412,23.06,2.8,5417656517,48.85,9.3,43.87,27.4,2.6,0.7,30.48,80.16,43.04,0.99,,5.29e+08,38,6.78,95.62,10.44,,
"Kyrgyz Republic",2013,46.48,8.34,7335033801,6912033443,149.53,6740000,117.8,23,98.9,99,-4.98,3.24,-619062900,43.2,35.52,2.25,9,98.9,136000,2.35,30.87,16.18,5598239531,17,2.7,5838494665,50.13,-4.62,46.8,28.8,2.6,0.4,30.63,75.74,46.14,1,,5.05e+08,44,7.69,97.46,10.75,,
"Kyrgyz Republic",2014,47.09,4.59,7468102413,7159302171,150.23,7560000,130.08,28.3,99.8,99.9,-5.09,3.11,-230435500,43.74,35.64,2.34,10,99.7,171000,2.89,34.59,16.96,5721254369,17.8,2.3,6165038520,46.91,2.93,43.74,26.8,1,0.2,31.24,76.61,44.06,1,96.4,5.68e+08,82,14.05,99.49,9.1,,
"Kyrgyz Republic",2015,44.12,17.13,6678177512,6417477544,142.97,7580000,128.14,30.25,98.7,98.7,-5.27,3.69,-1009094000,43.61,35.78,2.46,10,98.7,212000,3.52,25.61,16.34,5058924142,17.26,2.1,6417477544,46.21,0.74,43.47,29,2.2,0.4,31.4,76.27,44.67,1,96.78,5.35e+08,136,22.83,103.97,8.83,,
"Kyrgyz Republic",2016,41.78,9.09,6813095379,6455295205,134.17,7610000,126.51,40.5,99.7,99.5,11.51,3.68,-578968800,43.18,35.94,2.5,10,99.8,241000,3.94,27.5,13.61,5387624796,14.62,2.2,6599787808,44.94,10.7,42.07,26.8,1.1,0.2,31.18,76.07,43.4,0.99,97.06,5.82e+08,257,42.27,99.48,7.44,,
"Kyrgyz Republic",2017,39.14,-1.39,7702938379,7331338207,132.11,8470000,138.34,50.8,100,100,15.94,2.74,78143900,41.94,36.14,2.46,10,100,258000,4.15,18.81,15.28,5946603837,16.63,2.1,6933191581,42.26,2.85,39.91,27.3,1.3,0.2,30.44,76.59,41.28,1,97.05,4.22e+08,639,103.09,97.37,6.76,,
"Kyrgyz Republic",2018,38.73,1.74,8271106235,8020105524,135.67,8740000,140.36,62.8,100,100,15.3,2.03,-139267900,42.18,36.35,2.59,10,100,251000,3.95,15.48,12.5,6768419468,14.03,1.9,7321100770,44.04,8.41,40.86,27.7,0.7,0.1,26.82,73.66,39.92,1,93.74,4.51e+08,1075,170.02,98.95,6.46,,
