"Access.to.electricity....of.population.","Access.to.electricity..rural....of.rural.population.","Access.to.electricity..urban....of.urban.population.","Communications..computer..etc.....of.service.imports..BoP.","Computer..communications.and.other.services....of.commercial.service.exports.","Computer..communications.and.other.services....of.commercial.service.imports.","Gini.index","Individuals.using.the.Internet....of.population.","Secure.Internet.servers","Secure.Internet.servers..per.1.million.people.","Poverty.headcount.ratio.at..2.15.a.day..2017.PPP.....of.population.","Poverty.gap.at..2.15.a.day..2017.PPP.....","Individuals.using.the.Internet..female....of.female.population.","Individuals.using.the.Internet..male....of.male.population.","Mobile.cellular.subscriptions","Mobile.cellular.subscriptions..per.100.people."
92,83.4,99.5,31.62,9.59,29.76,36.2198132780083,23.6,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,2720000,100.44
91,85.7,95.6,36.07,10.89,34.09,36.2198132780083,24.3,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,2960000,108.58
92.2,88,95.8,38.75,10.16,36.75,36.2198132780083,27.67,68,24.87,5.74672131147541,1.96690573770492,29.8,25.42,3180000,116.39
91.1,84.5,96.7,38.41,9.51,36.37,36.2198132780083,37.44,91,33.14,5.74672131147541,1.96690573770492,40.03,34.77,2950000,107.25
93.1,88.1,97.3,37.95,14.24,35.76,36.2198132780083,33.79,147,53.26,5.74672131147541,1.96690573770492,36.5,30.98,2710000,98.37
93.9,90.7,96.6,38.43,14.45,36.46,36.2198132780083,37.1,203,73.2,5.74672131147541,1.96690573770492,40.34,33.74,2850000,102.63
93.3,89.2,96.8,40.88,14.81,39.18,36.2198132780083,40.4,245,87.99,5.74672131147541,1.96690573770492,44.09,36.58,3010000,107.93
94.9,91.1,98,45.17,14.21,43.56,36.2198132780083,42.22,351,125.61,5.74672131147541,1.96690573770492,44.95,39.44,3140000,112.27
96.6,93,99.5,46.43,14.46,44.87,36.2198132780083,44.37,354,126.31,5.74672131147541,1.96690573770492,47.7,40.98,3270000,116.58
97.4,94.3,99.8,45.38,13.13,43.89,36.2198132780083,55.07,401,142.79,5.74672131147541,1.96690573770492,58.88,51.19,3090000,110.07
98.2,95.9,100,42.83,12.14,41.33,35.6,68.21,451,160.39,0.1,0,71.56,64.8,2960000,105.45
98.9,97.6,100,47.03,10.66,45.75,36.2198132780083,70.84,426,151.4,5.74672131147541,1.96690573770492,73.96,67.57,3020000,107.47
100,100,100,49.18,53.84,48.57,34.8,75.4,82041.0339782916,3567.78490926012,0.5,0.2,70.04,81.07,1.1e+08,86.19
100,100,100,52.52,59.83,51.98,36.2198132780083,78,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,74.82,81.25,1.16e+08,90.77
100,100,100,48.78,54.24,48.23,32.1,78.21,70810,552.9,0,0,74.83,81.73,1.23e+08,96.24
100,100,100,50.57,57.57,50.04,36.2198132780083,79.05,86878,679.62,5.74672131147541,1.96690573770492,73.71,84.77,1.33e+08,103.71
100,100,100,49.18,53.87,48.66,36.2198132780083,79.5,116093,909.61,5.74672131147541,1.96690573770492,74,85.33,1.41e+08,110.38
100,100,100,53.66,55.31,53.16,32.9,88.22,134421,1054.74,0.7,0.2,85.5,91.14,1.48e+08,115.83
100,100,100,60.75,57.79,60.34,36.2198132780083,89.11,175217,1376.67,5.74672131147541,1.96690573770492,86.39,91.94,1.58e+08,123.83
100,100,100,62.04,54.38,61.62,36.2198132780083,91.06,191255,1504.27,5.74672131147541,1.96690573770492,89.33,92.86,1.61e+08,126.18
100,100,100,63.17,55.2,62.77,36.2198132780083,93.18,267900,2108.19,5.74672131147541,1.96690573770492,91.8,94.65,1.67e+08,131.39
100,100,100,62.56,55.53,62.17,36.2198132780083,91.73,758209,5971.47,5.74672131147541,1.96690573770492,89.73,93.88,1.73e+08,136.42
100,100,100,63.58,55.27,63.21,36.2198132780083,88.75,1476696,11644.86,5.74672131147541,1.96690573770492,86.5,91.16,1.8e+08,142.47
100,100,100,67.07,56.64,66.78,36.2198132780083,92.73,2361325,18647,5.74672131147541,1.96690573770492,90.95,94.64,1.87e+08,148.27
100,100,100,13.17,13.21,8.74,32.6,23,82041.0339782916,3567.78490926012,0,0,63.99525,67.5129845422117,5310000,80.11
99.4,98.3,99.6,13.7,11.69,10.29,36.2198132780083,26,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,6010000,88.7
100,100,100,9.31,9.9,7.06,33.7,27.2,86,12.41,0,0,63.99525,67.5129845422117,6620000,95.51
99.6,97.7,99.9,9.75,10.44,7.29,36.2198132780083,34.9,131,18.42,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,7480000,105.24
99.5,99.5,99.5,8.53,8.63,6.9,36.2198132780083,37,250,34.67,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,8980000,124.58
99.7,97.3,100,8.97,8.41,6.69,36.2198132780083,41.4,294,38.21,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,10300000,134.04
99.8,97.9,100,6.79,8.18,5.12,36.2198132780083,46.2,346,39.96,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,11100000,128.12
99.9,98.9,100,7.92,8.15,6.13,36.2198132780083,54.22,426,44.87,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,13800000,145.33
100,99.5,100,6.82,7.08,3.73,36.2198132780083,56.15,669,67.14,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,9820000,98.53
100,100,100,6.41,6.8,4.25,36.2198132780083,64.5,1057,103.47,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,9700000,94.99
99.9,98.9,100,7.04,5,4.46,36.2198132780083,65.2,1025,97.99,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,8730000,83.48
99.9,98.9,100,7,4.93,4.15,36.2198132780083,70.08,1092,102.07,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,7780000,72.71
100,100,100,64.01,13.42,63.34,28.5,11,82041.0339782916,3567.78490926012,0.2,0,63.99525,67.5129845422117,14900000,92.06
100,100,100,64.18,13.75,63.51,28.2,18.2,82041.0339782916,3567.78490926012,0.2,0,63.99525,67.5129845422117,17100000,104.03
100,100,100,67.12,13.04,66.62,28,31.6,57,3.49,0.2,0,63.99525,67.5129845422117,19400000,116.69
99.8,99.6,100,61.36,13.26,60.91,28,50.6,91,5.5,0.1,0,63.99525,67.5129845422117,25200000,149.66
100,100,100,54.91,10.62,54.55,28.2,61.91,202,12.03,0,0,63.99525,67.5129845422117,30200000,176.79
100,100,100,53.01,12.66,52.61,27.1,63.3,296,17.38,0,0,63.99525,67.5129845422117,30400000,175.06
100,100,100,55.73,10.71,55.24,27,66,465,26.9,0,0,63.99525,67.5129845422117,28600000,162.55
100,100,100,55.31,11.12,54.49,26.8,70.83,845,48.17,0,0,69.94,71.8,26300000,147.51
100,100,100,55.08,11.19,54.34,27.2,74.59,4701,264.19,0.1,0,73.29,75.99,25500000,141.24
100,100,100,55.06,9,54.46,27.5,76.43,22227,1232.25,0,0,75.56,77.37,26700000,145.75
100,100,100,57.94,10.06,57.47,27.8,78.9,25115,1374.17,0,0,77.85,80.04,26100000,140.61
100,100,100,52.18,11.58,51.63,28,81.88,43674,2359.01,0,0,80.99,82.84,25700000,137.13
30.3,20.4,63.8,35.52,19.02,27.73,36.2198132780083,5.2,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,16300000,41.6
23,10.1,65.6,34.94,18.62,27.55,36.2198132780083,6.1,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,5.25,6.89,19400000,47.97
19.2,7.2,58.2,36.49,14.09,29.79,36.2198132780083,7.2,65,1.57,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,2.5e+07,60.14
36.2,25.7,69.3,31.2,14.48,24.75,36.2198132780083,8.8,95,2.23,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,28100000,65.86
38.1,27.5,71.1,28.96,16.38,23.84,36.2198132780083,10.5,229,5.24,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,30700000,70.28
40.1,29.3,73,28.22,17.43,19.01,36.2198132780083,13,316,7.05,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,31800000,71.06
36,25.1,68.4,40.06,21.61,34.9,36.2198132780083,16.5,458,9.99,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,33600000,73.38
41.6,29,78.1,42.39,18.8,37.84,40.8,16.59,619,13.21,29.4,8.6,13.45,19.82,37700000,80.5
53.1,42.1,84.3,50.34,18.68,46.56,36.2198132780083,16.6,942,19.67,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,3.9e+07,81.39
55.8,45.8,83.6,47.48,17.25,42.95,36.2198132780083,17.83,1837,37.53,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,42800000,87.47
61.2,51.6,87.2,48.83,16.32,45.04,36.2198132780083,19.5,11164,223.49,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,49500000,99.1
69.7,61.7,90.8,48.37,17.22,44.64,36.2198132780083,22.67,13047,256.07,5.74672131147541,1.96690573770492,20.23,25.17,54600000,107.07
69.4,51.5,90.7,29.31,16.81,13.36,36.2198132780083,7,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,1000,0.96
64.2,43,88.6,27.73,18.41,11.72,36.2198132780083,8.97,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,9907,9.35
63.2,39.4,89.5,28.22,17.22,12.13,36.2198132780083,9.07,0,0,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,10595,9.81
74.9,60.9,89.8,30.75,21.24,12.67,36.2198132780083,10,0,0,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,13788,12.55
76.7,64.2,89.6,35.97,18.54,16.09,36.2198132780083,10.75,1,8.96,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,18000,16.13
78.8,68.4,89.3,32.4,32.62,24.36,36.2198132780083,11.5,1,8.83,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,20000,17.65
83.4,77.5,89.1,31.53,37.01,24.04,36.2198132780083,12.25,1,8.7,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,30000,26.09
90.6,93,88.3,31.78,30.3,18.42,36.2198132780083,14.9,1,8.57,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,41000,35.13
92.6,77.8707367149758,88.8,38.7,37.83,25.01,36.2198132780083,19.42,3,25.31,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,52000,43.88
85.7,77.8707367149758,88.8,39.87,29.01,20.48,36.2198132780083,25.31,3,24.92,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,46123,38.32
87.5,77.8707367149758,88.7,35.21,22.83,18.53,36.2198132780083,32.99,5,40.9,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,53338,43.63
89.3,90.1,88.6,35.42,22.27,17.3,27.8,42.99,1,8.05,1.7,0.3,63.99525,67.5129845422117,54658,43.99
82.4805239005736,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,0,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,0,0
26,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,0,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,69261,0.28
29.3,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,0,0,0,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,431919,1.75
31.4,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,0,0,0,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,1e+06,4.03
33.6,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,0,0,0,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,1700000,6.83
35.7,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,0,0,0,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,2420000,9.68
37.8,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,2800000,11.14
40,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,3240000,12.83
42.1,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,0,0,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,3610000,14.2
44.2,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,1,0.04,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,3810000,14.93
46.3,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625
48.4,77.8707367149758,91.392984496124,36.4331785714286,30.4169443207127,34.0576347438753,36.2198132780083,43.7411033057851,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,4250000,16.51
100,100,100,39.68,36.5,39.09,32.3,81,82041.0339782916,3567.78490926012,0.2,0.2,76.66,85.28,45600000,94.23
100,100,100,48.58,43.45,48.14,36.2198132780083,81.6,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,77.07,85.95,47900000,98.67
100,100,100,46.46,37.25,45.93,32,83.7,8688,175.32,0.5,0.2,63.99525,67.5129845422117,50800000,104
100,100,100,48.08,42.2,47.5,36.2198132780083,83.76,10413,208.52,5.74672131147541,1.96690573770492,79.54,87.95,52500000,106.79
100,100,100,49.14,44.02,48.69,31.6,84.07,13470,268.33,0.2,0.1,80.02,88.12,53600000,108.04
100,100,100,49.97,47.2,49.47,36.2198132780083,84.77,17000,337.11,5.74672131147541,1.96690573770492,81.02,88.53,54700000,109.15
100,100,100,49.96,47.79,49.5,31.2,87.56,20634,406.61,0.2,0.1,84.39,90.68,57300000,113.32
100,100,100,48.89,46.79,48.27,36.2198132780083,89.9,28452,557.72,5.74672131147541,1.96690573770492,87.35,92.4,58900000,115.57
100,100,100,47.67,50.18,47.02,35.2,92.84,36928,721,0.2,0.1,90.93,94.72,61300000,119.46
100,100,100,48.54,53.22,47.85,34.9,95.07,61580,1198.94,0.2,0.1,93.86,96.24,63700000,123.58
100,100,100,48.64,51.26,48.05,33.7,96.02,106574,2065.99,0.2,0,94.83,97.17,66400000,128.41
100,100,100,50.47,49.71,49.79,33.2,96.16,234958,4538.95,0,0,95.31,96.97,68900000,132.99
82.4805239005736,77.8707367149758,91.392984496124,38.68,45.88,38.15,36.2198132780083,43.7411033057851,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,562000,32.3
82.4805239005736,77.8707367149758,91.392984496124,39.69,25.52,39.35,31.8,43.7411033057851,82041.0339782916,3567.78490926012,3.4,0.6,63.99525,67.5129845422117,562000,32.3
82.4805239005736,77.8707367149758,91.392984496124,47.82,26.18,46.97,33.3,43.7411033057851,82041.0339782916,3567.78490926012,2.9,0.5,63.99525,67.5129845422117,562000,32.3
82.4805239005736,77.8707367149758,91.392984496124,35.99,25.1,35.99,27.8,43.7411033057851,82041.0339782916,3567.78490926012,1.9,0.3,63.99525,67.5129845422117,43065367.1419355,98.302625
82.4805239005736,77.8707367149758,91.392984496124,33.75,18.93,31.66,29,43.7411033057851,82041.0339782916,3567.78490926012,0.8,0.1,63.99525,67.5129845422117,43065367.1419355,98.302625
82.4805239005736,77.8707367149758,91.392984496124,27.41,15.27,24.02,26.3,43.7411033057851,82041.0339782916,3567.78490926012,0.4,0.1,63.99525,67.5129845422117,43065367.1419355,98.302625
82.4805239005736,77.8707367149758,91.392984496124,35.62,20.03,32.63,27.3,43.7411033057851,82041.0339782916,3567.78490926012,1.1,0.2,63.99525,67.5129845422117,43065367.1419355,98.302625
82.4805239005736,77.8707367149758,91.392984496124,22.89,15.82,19.84,26.5,43.7411033057851,82041.0339782916,3567.78490926012,0.8,0.1,63.99525,67.5129845422117,43065367.1419355,98.302625
82.4805239005736,77.8707367149758,91.392984496124,20.2,12.59,18.26,26.7,43.7411033057851,82041.0339782916,3567.78490926012,0.8,0.2,63.99525,67.5129845422117,43065367.1419355,98.302625
82.4805239005736,77.8707367149758,91.392984496124,24.4,11.47,22.71,29,83.89,82041.0339782916,3567.78490926012,0.4,0.2,82.04,85.23,43065367.1419355,98.302625
82.4805239005736,77.8707367149758,91.392984496124,30.85,13.61,28.63,36.2198132780083,89.44,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,89,89.94,43065367.1419355,98.302625
82.4805239005736,77.8707367149758,91.392984496124,28.59,13.38,26.36,36.2198132780083,43.7411033057851,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,43065367.1419355,98.302625
100,100,100,14.41,53.44,8.75,36.2198132780083,42,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,1500000,56.58
100,100,100,17.75,63.23,12.28,36.2198132780083,50.8,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,2620000,93.66
100,100,100,25.99,42.22,18.43,36.2198132780083,61.4,236,80.18,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,3980000,135.19
100,100,100,17.78,37.92,11.1,36.2198132780083,65.77,370,117.69,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,4930000,156.95
100,100,100,17.86,41.77,13.42,36.2198132780083,70.45,629,185.29,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,5100000,150.24
100,100,100,26.04,60.33,21.83,36.2198132780083,75.46,790,216.65,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,6410000,175.78
100,100,100,26.49,54.39,21.72,36.2198132780083,78.7,956,254.15,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,7600000,202.04
100,100,100,22.56,49.88,16.55,36.2198132780083,82,1276,326.45,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,7660000,196.09
100,100,100,29.39,52.08,27.14,36.2198132780083,85.6,1575,389.07,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,7660000,189.21
100,100,100,30.61,48.74,28,36.2198132780083,98,1964,476.13,5.74672131147541,1.96690573770492,98,98,7140000,173.07
100,100,100,35.7,43.45,33.07,36.2198132780083,99.6,1705,394.93,5.74672131147541,1.96690573770492,99.8,99.52,7100000,164.46
100,100,100,28.44,58.81,24.52,36.2198132780083,99.54,1844,415.21,5.74672131147541,1.96690573770492,99.58,99.52,7330000,164.98
99.5,99.6,99.4,11.23,14.09,10.69,31.5,15.7,82041.0339782916,3567.78490926012,3.3,0.6,63.99525,67.5129845422117,3390000,63.49
99.5,99.5,99.5,22.86,35.81,21.91,29.9,16,82041.0339782916,3567.78490926012,1.5,0.3,63.99525,67.5129845422117,4490000,82.88
99,98.9,99.1,25.44,45.78,24.59,30.1,16.3,10,1.84,3.5,1,63.99525,67.5129845422117,5280000,96.2
98.3,97.8,99.3,19.99,37.45,19.27,27.8,17.5,8,1.45,1.3,0.2,63.99525,67.5129845422117,6280000,113.05
99.8,99.8,99.8,23.06,36.19,22.54,27.4,19.8,38,6.78,2.6,0.7,63.99525,67.5129845422117,6800000,120.7
98.9,98.9,99,17,30.87,16.18,28.8,23,44,7.69,2.6,0.4,63.99525,67.5129845422117,6740000,117.8
99.8,99.7,99.9,17.8,34.59,16.96,26.8,28.3,82,14.05,1,0.2,63.99525,67.5129845422117,7560000,130.08
98.7,98.7,98.7,17.26,25.61,16.34,29,30.25,136,22.83,2.2,0.4,63.99525,67.5129845422117,7580000,128.14
99.7,99.8,99.5,14.62,27.5,13.61,26.8,40.5,257,42.27,1.1,0.2,63.99525,67.5129845422117,7610000,126.51
100,100,100,16.63,18.81,15.28,27.3,50.8,639,103.09,1.3,0.2,63.99525,67.5129845422117,8470000,138.34
100,100,100,14.03,15.48,12.5,27.7,62.8,1075,170.02,0.7,0.1,63.99525,67.5129845422117,8740000,140.36
99.9,99.9,99.8,14.91,14.74,13.64,29.7,64.1,1859,287.94,0.7,0.2,63.99525,67.5129845422117,8620000,136.35
66,52.6,99,33.72,7.72,30.06,36.2198132780083,3.55,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,2020000,32.96
67.4,55,97.1,17.26,14.91,13.56,36.2198132780083,6,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,3230000,51.92
70.2,58.6,97.3,9.57,8.25,7.61,36.2198132780083,7,3,0.47,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,4e+06,63.31
70,57.8,97.5,11.29,8.19,9.73,36.2198132780083,9,6,0.94,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,5480000,85.42
76.4,66.8,97.4,6.35,7.45,5.68,36,10.75,12,1.84,10.9,2.1,63.99525,67.5129845422117,4300000,66.06
79.3,70.6,97.9,6.07,6.38,5.36,36.2198132780083,12.5,17,2.58,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,4610000,69.88
82.5,75,98.1,4.47,5.63,4.24,36.2198132780083,14.26,22,3.29,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,4620000,69.02
89.7,85.7,97.8,2.27,4.66,1.99,36.2198132780083,18.2,28,4.13,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,3730000,54.91
89,84.1,98.7,2.95,4.1,2.95,36.2198132780083,21.87,57,8.27,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,3960000,57.44
93.6,90.5,99.5,6.12,3.68,5.65,36.2198132780083,25.51,114,16.29,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,3710000,53.04
92.9,89.3,99.5,6.53,6.37,5.97,38.8,36.3,144,20.27,7.1,1.2,63.99525,67.5129845422117,3660000,51.55
98.4,97.6,99.9,3.7,4.1,3.33,36.2198132780083,47.03,224,31.06,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,4640000,64.29
99.7,99.9,99.6,33.54,24.29,33.09,37.2,63.41,82041.0339782916,3567.78490926012,1.3,0.5,61.69,65.36,2300000,106.89
100,100,100,33.5,23.56,32.99,35.9,66.84,82041.0339782916,3567.78490926012,1.7,0.9,66,67.79,2300000,108.34
99.8,99.8,99.7,34.41,26.68,33.8,35,68.42,477,227.41,1.7,0.7,67.14,69.87,2310000,109.73
99.8,99.8,99.8,32.87,25.09,32.41,35.8,69.75,673,326.75,1,0.5,69.05,70.54,2310000,111.17
100,100,100,35.49,26.08,35.15,35.2,73.12,1141,560.88,1.1,0.5,72.06,74.32,2630000,128.11
100,100,100,34.5,29.17,34.07,35.5,75.23,1430,710.51,1.2,0.6,74.79,75.76,2560000,125.92
100,100,100,34.06,26.6,33.52,35.1,75.83,1824,914.84,0.8,0.4,77.04,77.29,2380000,118.55
100,100,100,34.56,26.08,33.97,34.2,79.2,2596,1312.75,0.7,0.3,78.33,80.23,2590000,130.02
100,100,100,37.14,30.85,36.77,34.3,79.84,5758,2938.45,0.6,0.3,78.95,80.86,2650000,134.29
100,100,100,38.43,33.73,38.17,35.6,80.11,23206,11948.01,0.8,0.3,79.98,80.27,2460000,126.05
100,100,100,42.5,36.99,42.18,35.1,83.58,27952,14504.14,0.4,0.2,83.96,83.14,2070000,106.95
100,100,100,44.07,41.31,43.72,34.5,86.14,38004,19857.65,0.2,0.2,85.01,87.4,2070000,108.09
99.9,99.2,100,56.64,62.07,56.58,36.2198132780083,22.53,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,1430000,29.2
99.3,96.1,99.8,55.96,55.53,55.9,36.2198132780083,30.14,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,2390000,48.28
99.5,96.6,99.9,40.69,32.77,40.59,36.2198132780083,43.68,83,16.61,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,2860000,57.32
99.7,99.2,99.8,37.24,35.07,37.13,31.8,52,160,31.71,0,0,63.99525,67.5129845422117,3460000,68.52
99.5,96.2,100,34.68,34.99,34.57,36.2198132780083,61.25,272,52.53,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,3760000,72.52
99.6,96.8,100,38.75,39.63,38.64,36.2198132780083,70.5,339,59.7,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,3880000,68.41
99.7,97.3,100,33.89,33.26,33.7,36.2198132780083,73,454,72.36,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,4390000,69.92
99.7,97.8,100,32.07,30.95,30.87,36.2198132780083,74,547,85.48,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,4660000,72.79
99.8,98.3,100,29.58,27.31,28.9,36.2198132780083,76.11,592,94.59,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,4280000,68.34
99.9,98.7,100,24.71,25.83,24.54,36.2198132780083,78.18,813,133.08,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,4400000,72.01
99.7,97.4,100,26.25,25.92,25.81,36.2198132780083,80.9,1195,200.81,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,4420000,74.35
100,99.6,100,22.15,23.6,21.98,36.2198132780083,84.3,1415,244.73,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,4240000,73.3
16,8.6,39.9,23.79,28.71,18.8,36.2198132780083,3.58,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,593216,29.73
17,8.6,43.2,30.78,10.67,24.96,36.2198132780083,3.72,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,661000,32.9
17,4.4,55.2,21.19,34.88,14.05,36.2198132780083,3.86,1,0.49,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,987448,48.82
22.5,10.8,57.2,22.3,26.11,17.9,36.2198132780083,7,2,0.98,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,1230000,60.48
20.6,7.2,59.1,25.91,26.99,20.51,36.2198132780083,10,2,0.97,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,1540000,75.18
26.9,14.8,61,23.88,34.37,19.46,36.2198132780083,15,4,1.93,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,1790000,86.32
27.8,15.6,61.5,25.07,31.71,20.13,36.2198132780083,22,4,1.91,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,2140000,102.08
31.8,19.7,64.6,26.41,16.98,20.44,36.2198132780083,25,14,6.61,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,2140000,101.02
35.1,23.3,66.4,15.36,13.62,12.9,36.2198132780083,32.45,18,8.4,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,2280000,106.49
33.7,20.2,68.8,14.95,23.27,13.28,44.9,39,42,19.35,32.4,11.6,63.99525,67.5129845422117,2380000,109.68
47,77.8707367149758,70.7,13.1,18.34,11.28,36.2198132780083,40.8,83,37.76,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,1580000,71.98
44.6,32.6,74.4,13.31,19.86,11.65,36.2198132780083,42.3,134,60.21,5.74672131147541,1.96690573770492,44.92,38.35,1680000,75.56
1.3,77.8707367149758,3.6,80.74,2.5,21.12,36.2198132780083,0.53,82041.0339782916,3567.78490926012,5.74672131147541,1.96690573770492,63.99525,67.5129845422117,854627,22.59
